date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:45	38104/38104	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2000:34:15%20GMT	https://dappersa.co.za/blog-details-no-sidebar.html	C:/My%20Web%20Sites/Dapper/dappersa.co.za/blog-details-no-sidebar.html	(from https://dappersa.co.za/)
18:45:45	42814/42814	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2000:34:15%20GMT	https://dappersa.co.za/blog-details-left-sidebar.html	C:/My%20Web%20Sites/Dapper/dappersa.co.za/blog-details-left-sidebar.html	(from https://dappersa.co.za/)
18:45:45	42763/42763	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2000:34:15%20GMT	https://dappersa.co.za/blog-details.html	C:/My%20Web%20Sites/Dapper/dappersa.co.za/blog-details.html	(from https://dappersa.co.za/)
18:45:46	16975/16975	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:58%20GMT	https://dappersa.co.za/assets/js/modernizr.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/modernizr.js	(from https://dappersa.co.za/)
18:45:46	89500/89500	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:57%20GMT	https://dappersa.co.za/assets/js/jquery-main.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/jquery-main.js	(from https://dappersa.co.za/)
18:45:46	11223/11223	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:56%20GMT	https://dappersa.co.za/assets/js/jquery-migrate.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/jquery-migrate.js	(from https://dappersa.co.za/)
18:45:47	18555/18555	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:58%20GMT	https://dappersa.co.za/assets/js/popper.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/popper.min.js	(from https://dappersa.co.za/)
18:45:47	60048/60048	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:56%20GMT	https://dappersa.co.za/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/bootstrap.min.js	(from https://dappersa.co.za/)
18:45:48	48215/48215	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:57%20GMT	https://dappersa.co.za/assets/js/jquery-ui.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/jquery-ui.min.js	(from https://dappersa.co.za/)
18:45:48	140892/140892	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:40:00%20GMT	https://dappersa.co.za/assets/js/swiper.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/swiper.min.js	(from https://dappersa.co.za/)
18:45:49	68254/68254	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:55%20GMT	https://dappersa.co.za/assets/js/fancybox.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/fancybox.min.js	(from https://dappersa.co.za/)
